vid0332,2762
vid0328,4592
vid0325,1592
vid0323,1412
vid0322,902
vid0321,1352
vid0320,3242
vid0319,1442
vid0318,2762
vid0317,2222
vid0314,1892
vid0312,1862
vid0310,5942
vid0307,1382
vid0305,1352
vid0304,8192
vid0297,1202
vid0294,1292
vid0293,9032
vid0285,1442
vid0283,2342
vid0282,12182
vid0280,9032
vid0279,2282
vid0278,2282
vid0277,2282
vid0275,2852
vid0273,2342
vid0270,1442
vid0268,1442
vid0267,1772
vid0265,1442
vid0264,6392
vid0263,3692
vid0262,1622
vid0261,1262
vid0259,9902
vid0257,2612
vid0256,2342
vid0251,1382
vid0250,1352
vid0248,4742
vid0247,1442
vid0244,3242
vid0243,2792
vid0242,1532
vid0240,1442
vid0239,1472
vid0238,1352
vid0237,4142
vid0234,1322
vid0232,1532
vid0229,5312
vid0227,3692
vid0224,3902
vid0222,2762
vid0221,9032
vid0220,1442
vid0219,9542
vid0218,9542
vid0217,3032
vid0209,4142
vid0207,4142
vid0206,1442
vid0201,2342
vid0200,1442
vid0199,1742
vid0198,1442
vid0194,2342
vid0188,1382
vid0187,1442
vid0185,5942
vid0183,13142
vid0182,2732
vid0181,5492
vid0179,1442
vid0173,5042
vid0172,1382
vid0171,1082
vid0170,1892
vid0165,1442
vid0164,1442
vid0161,1292
vid0160,1382
vid0157,2792
vid0156,1442
vid0154,3122
vid0152,3632
vid0150,5432
vid0149,1442
vid0148,1412
vid0147,5492
vid0138,1382
vid0136,9032
vid0134,1442
vid0132,1382
vid0130,1442
vid0127,2192
vid0126,2342
vid0125,3242
vid0124,7322
vid0119,1442
vid0118,18092
vid0117,2792
vid0116,10082
vid0114,1382
vid0113,3902
vid0112,1442
vid0110,1832
vid0108,1292
vid0106,4142
vid0105,2552
vid0104,4082
vid0099,1382
vid0096,15842
vid0091,1742
vid0090,2702
vid0088,10892
vid0087,3182
vid0086,1532
vid0083,1382
vid0078,7292
vid0075,2732
vid0071,3692
vid0068,6842
vid0065,6842
vid0064,1892
vid0061,11792
vid0060,1052
vid0059,1892
vid0057,2342
vid0055,6392
vid0052,1052
vid0050,1322
vid0049,13082
vid0045,12692
vid0041,1442
vid0039,1382
vid0036,1442
vid0035,8702
vid0028,4142
vid0026,4952
vid0024,1442
vid0019,9992
vid0016,1442
vid0015,1892
vid0013,1892
vid0010,1382
vid0009,1352
vid0007,4142
vid0006,2342
vid0002,1442
vid0336,1382
vid0335,1382
vid0334,2732
vid0333,1442
vid0331,1382
vid0330,1352
vid0329,1382
vid0327,11702
vid0326,1892
vid0324,3242
vid0316,10832
vid0315,15392
vid0313,5432
vid0311,2762
vid0309,3332
vid0308,1382
vid0306,4142
vid0303,2792
vid0302,2342
vid0301,1292
vid0300,1322
vid0299,1502
vid0298,7292
vid0296,1442
vid0295,4532
vid0292,2792
vid0291,1442
vid0290,1442
vid0289,4982
vid0288,1442
vid0287,4142
vid0286,4142
vid0284,8132
vid0281,5492
vid0276,10952
vid0274,1172
vid0272,5042
vid0271,3242
vid0269,1382
vid0266,1442
vid0260,4112
vid0258,5942
vid0255,2282
vid0254,3242
vid0253,1382
vid0252,1382
vid0249,18541
vid0246,1292
vid0245,4622
vid0241,1442
vid0236,12602
vid0235,9482
vid0233,3632
vid0231,1472
vid0230,4082
vid0228,1442
vid0226,3122
vid0225,1442
vid0223,2282
vid0216,3182
vid0215,13112
vid0214,2792
vid0213,1232
vid0212,2132
vid0211,5432
vid0210,1442
vid0208,3182
vid0205,7742
vid0204,4592
vid0203,7172
vid0202,1412
vid0197,4982
vid0196,9992
vid0195,3242
vid0193,11282
vid0192,1502
vid0191,1442
vid0190,1382
vid0189,5942
vid0186,1442
vid0184,5012
vid0180,13982
vid0178,4442
vid0177,1442
vid0176,1802
vid0175,29342
vid0174,1952
vid0169,1352
vid0168,2252
vid0167,1382
vid0166,1322
vid0163,2282
vid0162,4142
vid0159,4142
vid0158,1442
vid0155,1892
vid0153,13532
vid0151,5042
vid0146,1382
vid0145,1352
vid0144,2342
vid0143,2732
vid0142,2432
vid0141,2372
vid0140,3182
vid0139,1442
vid0137,3062
vid0135,1382
vid0133,2342
vid0131,1382
vid0129,1382
vid0128,4082
vid0123,1172
vid0122,1442
vid0121,2342
vid0120,19052
vid0115,5852
vid0111,4592
vid0109,2282
vid0107,1352
vid0103,1442
vid0102,2582
vid0101,3242
vid0100,1232
vid0098,1382
vid0097,5882
vid0095,5492
vid0094,1292
vid0093,2672
vid0092,1442
vid0089,5492
vid0085,3152
vid0084,2702
vid0082,14492
vid0081,1232
vid0080,1412
vid0079,5372
vid0077,3242
vid0076,15812
vid0074,1442
vid0073,6392
vid0072,5972
vid0070,3182
vid0069,4982
vid0067,7741
vid0066,12212
vid0063,8912
vid0062,16592
vid0058,1382
vid0056,3242
vid0054,1982
vid0053,8642
vid0051,1262
vid0048,992
vid0047,4142
vid0046,9482
vid0044,9032
vid0043,1052
vid0042,10892
vid0040,1442
vid0038,5222
vid0037,12512
vid0034,2192
vid0033,13592
vid0032,6842
vid0031,3692
vid0030,1442
vid0029,2792
vid0027,1442
vid0025,37442
vid0023,3182
vid0022,3902
vid0021,1112
vid0020,1382
vid0018,2342
vid0017,4082
vid0014,1472
vid0012,8132
vid0011,1412
vid0008,3632
vid0005,1442
vid0004,3182
vid0003,10862
vid0001,2552
vid0000,4172
